0.8375,1,0.91156,0.97813
0.84211,0.9697,0.90141,0.93947
0.575,0.90196,0.70229,0.79307
0.9375,0.72816,0.81967,0.88555
0.95,0.97436,0.96203,0.97129
0.8375,0.64423,0.72826,0.81467
0.9625,0.98718,0.97468,0.99812
0.9375,0.96154,0.94937,0.97232
0.9875,0.81443,0.89266,0.96168
0.97468,0.81915,0.89017,0.94997
0.9875,0.86813,0.92398,0.9092
0.9125,1,0.95425,0.98957
0.9875,0.89773,0.94048,0.99039
0.9625,0.875,0.91667,0.93977
0.9875,0.83158,0.90286,0.96793
0.875,0.77778,0.82353,0.84768
0.91176,0.87324,0.89209,0.94442
1,0.80808,0.89385,0.9723
0.975,0.88636,0.92857,0.96586
0.97368,0.69159,0.80874,0.82845
0.64912,0.78723,0.71154,0.80579
0.9875,0.97531,0.98137,0.99211
0.95,0.98701,0.96815,0.99109
