0.90625,1,0.95082,0.074911
0.94286,0.97059,0.95652,0.044118
0.94286,1,0.97059,0.030303
0.91667,1,0.95652,0.045455
0.71429,0.83333,0.76923,0.32813
0.94118,0.9697,0.95522,0.045455
0.94118,0.9697,0.95522,0.038567
0.94286,1,0.97059,0.044536
0.86842,1,0.92958,0.075758
0.94286,1,0.97059,0.030303
0.6875,0.66667,0.67692,0.27916
0.94286,1,0.97059,0.030303
0.72727,0.9697,0.83117,0.1421
0.94118,0.9697,0.95522,0.052342
0.94286,1,0.97059,0.030303
0.9375,0.90909,0.92308,0.06933
0.93939,0.93939,0.93939,0.060606
0.91667,1,0.95652,0.045455
0.94286,1,0.97059,0.030303
0.93939,0.93939,0.93939,0.060606
0.94286,1,0.97059,0.030303
0.91429,0.9697,0.94118,0.060606
0.7561,0.96875,0.84932,0.072998
0.88889,0.9697,0.92754,0.0427
1,0.93939,0.96875,0.044536
0.91176,0.93939,0.92537,0.033747
0.94118,0.9697,0.95522,0.045455
0.86842,1,0.92958,0.075758
0.94286,1,0.97059,0.030303
0.91667,1,0.95652,0.045455
0.91429,0.9697,0.94118,0.060606
0.93939,0.93939,0.93939,0.060606
0.94118,1,0.9697,0.045898
