0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.656,0.037,0.114,1.119,0.249,0.4,24.562,70.375,39.375,106,50,21,55,13,27,29,92,0,40.923,0.98945,6.082,64.844,6.368,13.442,293.77,919.26,734.71,727.28,374.56,212.71,281.09,107,154.62,214.81,550.54,0,0.0011466,0.00054385,0.0002689,0.0035686,0.0048366,0.0099037,117.29,768.92,379.8,695.19,184.94,32.105,121.56,9.5408,33.469,63.867,408.7,0,0.61171,0.023221,0.092224,0.96964,0.11746,0.22362,11.061,28.328,19.367,26.277,13.564,5.7081,11.012,3.1725,5.7882,7.9847,20.174,0,19.327,0.697,2.599,29.837,3.807,3.3,341.5,670.63,533.75,450,332,167,351,97,148,177,343
0.784,0.62,0.099,0.158,1.047,0.096,0.246,6.688,15.312,18,48,23,10,3,4,5,5,26,42.556,33.553,4.836,8.014,54.012,1.708,10.516,104.83,186.98,220.26,379.61,178.67,101,81,97,98,92,128.88,1.4453e-05,3.6386e-05,9.6884e-05,6.6543e-05,0.00063944,0.0010947,0.00036501,10.375,52.006,47.244,232.55,62.082,9.8718,1.4818,1.5085,2.2456,2.7235,25.184,0.77375,0.61008,0.088467,0.14593,0.98236,0.045158,0.19213,3.2706,7.3477,6.8746,15.192,7.8679,3.2512,1.4049,1.4897,1.7219,1.8305,5.061,23.154,18.389,2.405,4.462,29.411,1.557,5.543,69.439,175.25,185.25,339,160,57,35,31,35,44,84
0.732,0.547,0.231,0.392,1.085,0.132,0.356,23.375,20.062,18.188,40,24,8,3,4,4,5,7,25.233,18.718,7.558,13.449,33.703,3.214,10.084,187.91,186.29,304.23,265.62,159.65,61.21,41,56,52,57,70,5.0232e-05,5.3341e-05,5.6879e-05,2.6373e-05,0.0027584,0.00058373,0.00055852,53.196,85.873,148.59,194.25,75.417,9.993,1.8543,1.9218,2.1753,3.4349,9.633,0.72098,0.53485,0.21607,0.38429,0.96433,0.094866,0.28905,8.6807,9.8153,12.195,13.88,8.6667,3.2275,1.4672,1.5811,1.633,2.0035,3.2318,21.58,16.076,6.522,11.55,28.705,2.697,8.497,174.06,244.94,312.37,343,234,86,42,43,46,42,82
0.693,0.539,0.298,0.46,1.133,0.184,0.368,23.75,55,48.125,74,42,14,26,5,7,7,18,28.25,21.812,11.549,18.876,40.346,3.96,10.901,115.45,458.73,354.22,334.78,252.41,101.28,104.85,67,76,77,100.47,6.8583e-05,6.174e-05,0.00014168,9.5861e-05,0.0085449,0.0017486,0.0037472,72.886,604.27,305.22,269.37,143.7,20.89,28.442,2.1838,3.4065,5.7658,27.909,0.67267,0.51939,0.27523,0.44953,0.96495,0.10294,0.2665,8.4879,25.239,18.574,16.321,11.927,4.6098,5.3672,1.6549,2.0282,2.5428,5.329,20.116,15.626,8.072,13.637,28.417,3.241,7.868,200.25,618.06,376.5,443,266,134,41,40,46,61,155
0.684,0.537,0.258,0.471,1.035,0.192,0.352,28.375,22.312,24.625,62,35,13,9,19,11,31,41,24.287,18.81,9.076,16.422,34.226,4.758,9.756,246.17,213.56,195.53,423.81,236.26,72.063,57.83,63.658,57.45,138.13,210.23,6.2523e-05,3.1857e-05,1.2273e-05,7.5286e-05,0.0015782,0.00090963,0.0012969,155.17,74.732,118.54,556.55,141.82,15.18,6.8052,14.913,8.9348,63.188,139.05,0.67468,0.52253,0.25213,0.45625,0.95153,0.13547,0.27332,12.31,10.385,10.949,23.44,11.844,3.9629,2.688,3.9038,3.0604,7.923,11.719,20.192,15.715,7.569,13.706,28.407,4.11,8.104,248.75,268.94,294.13,414,235,75,46,40,72,108,228
0.65,0.627,0.352,0.449,1.123,0.11,0.222,35.688,51.562,14.312,94,70,25,27,13,8,27,57,43.476,39.326,23.567,27.475,68.332,1.2299,4.8067,572.88,703.81,217.4,716.31,319.61,141,123.93,117,105,225.27,473.64,0.00029211,0.0016906,6.3633e-05,0.0008861,0.0028315,0.0013369,0.010061,228.12,242.18,49.445,716.19,163.87,21,16.217,7.0485,7.6814,61.344,265.97,0.63032,0.5714,0.34164,0.39928,0.99173,0.037048,0.11825,15.466,18.512,7.1147,26.735,12.805,4.6704,4.0825,2.7676,2.8565,7.8289,16.266,18.361,18.296,10.082,11.229,30.108,1.234,1.494,424.56,498.75,189.25,622,270,108,123,82,63,207,414
0.49,0.417,0.442,0.667,1.081,0.191,0.362,14.312,11.688,26.688,34,31,7,6,3,12,5,11,18.317,15.774,16.885,25.518,37.26,4.36,9.659,153.12,81.657,310.41,266.96,154.46,67,67,53,55,59,71.979,0.00023981,5.9308e-05,2.5787e-05,7.8692e-05,0.0025012,0.0023176,0.00082918,23.606,30.864,216.03,186.44,55.396,6.404,2.4303,1.2437,5.6805,2.971,15.201,0.46992,0.40453,0.43298,0.65437,0.95666,0.12148,0.24929,6.1981,5.6803,14.735,13.613,7.4424,2.6604,1.7765,1.3043,2.4732,1.876,3.951,13.944,12.188,12.959,19.72,28.682,3.643,7.366,146.94,146.75,439.19,234,181,68,41,33,72,48,100
0.426,0.389,0.526,0.731,1.088,0.163,0.376,26.062,39.812,32.125,63,42,19,31,10,17,14,44,27.914,23.903,34.139,48.734,67.342,5.128,16.975,351.02,806.06,339.55,423.17,272.38,130.57,96.264,102,125.96,110,268.35,0.00026105,0.0006999,0.0005183,0.00048741,0.0027387,0.0020845,0.0071337,121.38,219.33,152.93,232.34,107.1,21.476,14.928,5.5775,18.501,12.987,94.286,0.39909,0.34248,0.48822,0.69654,0.96343,0.086147,0.25659,11.006,18.676,12.307,15.204,10.336,4.6933,3.8994,2.4551,4.3487,3.6696,9.7183,11.611,11.074,15.241,20.249,29.201,2.493,5.047,292.44,520.44,306.88,288,206,143,120,48,115,100,245
0.383,0.354,0.52,0.72,1.169,0.173,0.28,23.188,37.125,22.688,81,37,12,36,5,13,23,66,18.639,16.419,25.451,35.136,48.761,3.82,10.554,473.23,305,192.12,466.4,199.52,98.9,104.9,73,81,170.58,394.77,2.7032e-05,0.00020008,1.3367e-05,7.8859e-05,0.0037123,0.00063184,0.0019984,186.74,179.56,72.406,447.82,77.617,17.965,25.244,2.9143,8.248,42.453,263.1,0.37282,0.32868,0.50903,0.70277,0.97708,0.08035,0.21567,13.703,14.601,8.4835,21.066,8.7998,4.287,5.057,1.8407,2.9642,6.5374,16.209,11.15,9.999,15.299,21.008,28.975,2.594,6.137,414.5,322.19,164.81,472,268,103,86,46,65,128,403
0.326,0.373,0.621,0.73,1.107,0.145,0.227,22.938,53.812,32.25,90,41,20,9,10,17,18,41,19.229,19.331,38.088,43.433,63.706,1.975,4.8458,574.69,704.69,485.7,650.14,211.52,138,101,104,96,161.41,375.99,0.00041216,0.0018571,0.00022135,0.0012867,0.0022756,0.0028759,0.0097706,58.069,228.1,181.64,559.21,63.512,14.12,4.9033,5.5411,9.3729,28.043,149.05,0.30113,0.30506,0.59531,0.67957,0.99653,0.061508,0.11255,11.739,18.595,13.374,23.576,8.0384,3.8908,2.3386,2.4776,3.1379,5.345,12.176,9.263,10.278,18.261,19.341,30.162,1.741,1.859,258.87,491,297.06,611,193,92,70,69,94,135,294
0.104,0.156,0.627,0.845,1.139,0.182,0.426,27.312,49.562,34.375,61,54,12,18,25,20,14,43,6.43,8.578,40.751,58.244,68.039,5.878,19.936,390.81,717.54,430.33,404.87,261.03,131.18,128,130.02,106,110.03,369.17,0.00020453,0.00053916,0.0013899,0.00090036,0.0054516,0.0020147,0.01172,111.19,547.38,171.99,241.03,94.669,13.798,9.1354,23.791,11.882,15.833,179.07,0.090428,0.12135,0.5672,0.80949,0.94783,0.093014,0.29703,10.546,24.519,13.419,15.5,9.7478,3.8004,3.1324,4.9243,3.5084,4.0326,13.375,2.851,4.243,18.156,23.32,29.359,2.851,5.231,302.37,844.06,362.07,424,282,110,111,223,117,114,353
0.041,0.111,0.62,0.83,1.139,0.217,0.354,17.75,41.688,22.25,44,40,17,6,5,7,10,33,1.856,6.242,45.416,64.258,74.786,11.65,21.729,198.95,444.87,317.53,440.02,214.27,120,125,127,131,126,173,0.0001911,0.00013947,0.000455,0.00026955,0.002403,0.00095633,0.0042987,22.973,110.55,71.47,163.12,65.264,11.564,2.8366,2.3664,3.9015,7.4884,29.517,0.027215,0.079879,0.57528,0.81356,0.94791,0.15064,0.28266,5.3022,11.868,8.4066,12.753,8.0623,3.4641,1.8349,1.708,2.1164,2.8284,5.4632,0.296,2.64,17.939,23.881,28.803,4.38,6.413,157.06,454.87,271.07,350,184,86,59,51,54,99,158
0.071,0.045,0.617,0.807,1.117,0.157,0.309,20.812,41.688,11.25,80,32,15,20,20,14,22,35,2.885,1.574,28.801,38.25,46.145,5.47,10.88,278.21,269.44,100.82,527.36,182.52,97.016,81.643,74.844,79.873,170.25,224.58,2.7627e-05,5.3232e-05,6.3085e-05,3.6537e-05,0.003391,0.00047813,0.0014691,96.83,269.62,20.276,486.27,91.168,17.01,21.129,16.941,10.779,49.825,131.57,0.060329,0.033577,0.60007,0.7969,0.96308,0.11599,0.22982,10.005,17.191,4.5192,21.938,9.5498,4.1533,4.6424,4.1571,3.3292,7.0711,11.498,1.791,1.014,18.119,23.816,28.981,3.493,6.496,234.75,430.63,131.5,334,162,66,56,74,53,97,280
