846.29,-665.56,279.09
968.31,-572.44,400.26
800.56,-525.96,316.11
1740,-318.98,1246.7
816.02,-328.44,258.17
1191.2,-234.54,670.81
685.43,-358.79,343.48
861.66,-508.14,389.75
988.32,-536.66,444.03
773.37,-530.53,472.42
2134,-339.66,147.58
1566.5,-465.77,593.97
549.45,-518.37,276.54
645.75,-354.4,261.15
563.83,-430.67,379.63
542.08,-357.53,303.62
1419,-5.5635,930.04
1743.7,-486.12,731.16
2950.5,1327.9,-968.32
2293.4,-189.79,713.53
2336.9,-208.28,964.07
593.08,-417.92,271.35
951.09,-326.47,492.25
1917.5,-285.4,920
2326.5,-645.63,591.62
1023.7,-306.86,726.32
1994.8,-1259.4,329.42
1968.8,-796.82,724.85
2362.2,-280.14,711.78
1038.9,-758.27,386.75
1012,-417.43,476.28
1282.6,-195.3,790.58
1230.3,-486.52,656.57
1089.1,-332.42,730.14
1194.6,-518.72,525.78
810.03,-448,557.01
1085.6,-414.08,389.47
1186.1,-503.92,504.55
2544.9,-643.04,-100.15
2091.5,-804.25,614.99
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1657.7,-940.54,643.77
1873.2,-434.76,280.03
1573.9,-1290.4,334.65
1173.1,-666.78,325.65
1380.3,-914.75,220.46
1733.2,-849.91,-270.5
1261.6,-913.09,410.3
771.8,-494.81,494.97
1789.4,-1059.5,349
2356.9,-732.04,-20.427
899.68,-766.12,326.1
1486.3,-643.28,-251.5
451.96,-539.05,95.989
1690.9,-483.28,69.44
855.48,-714.16,214.07
1521.4,-481.35,818.47
1439.5,-833.35,510.35
2025.3,-864.78,21.444
1086.8,-896.58,421.05
1365.4,-1075,-114.63
1670.6,-951.52,283.72
1437.7,-780.87,443.14
1016.2,-757.39,423.41
1504.4,-1168,-75.571
1092.1,-1235.9,186.32
1100.9,-684.9,182.04
986.85,-1193.5,7.1936
1380.6,-1284,115.73
1331.2,-693.91,291.78
1398.2,-799.34,-113.15
1471.7,-1418.9,423.18
1504.7,-1414.6,389.01
1455,-948.77,421.54
0,0,0
0,0,0
